,뉴스제목,링크주소
0,"선 없이 자유롭게…LG전자, '무선 TV' 혁신[CES 2025]",https://www.newsis.com/view/NISX20250107_0003022856
1,"[CES 2025] LG전자 조주완, MS와 협업 발표…""공감지능 서비스 구현""",https://www.yna.co.kr/view/AKR20250106130200003?input=1195m
2,"MS와 손잡은 LG전자, 공감지능 더 강력해진다",https://zdnet.co.kr/view/?no=20250106120252
3,"조주완 ""LG전자-MS 전략적 협업""…'AI 로봇' 개발 가속화[CES2025]",http://www.edaily.co.kr/news/newspath.asp?newsid=01141446642035424
4,"책상에 세우고, 벽에 걸고…LG전자, 스탠바이미2 공개[CES 2025]",https://www.newsis.com/view/NISX20250107_0003022876
5,"LG전자, AI홈 존 공개",https://www.news1.kr/photos/7072665
6,LG전자가 꿈꾸는 '공감지능(AI) 홈' 모습은? [CES 2025],http://www.fnnews.com/news/202501041052415921
7,"[CES 2025] LG전자, AI TV 신제품 공개… “밝기 3배↑, AI로 소비자 취향...",https://biz.chosun.com/it-science/ict/2025/01/06/R4DI2ELSGNBERDKHI4O7IQKCVQ/?utm_source=naver&utm_medium=original&utm_campaign=biz
8,블랙아이드피스가 왜 거기서 나와…LG전자 찾은 윌아이엠,http://news.mt.co.kr/mtview.php?no=2025010705450115282
9,집안 구조까지 훤한 'AI 비서' 나온다,https://view.asiae.co.kr/article/2025010708103490298
